編號,名稱,地址,電話,總房間數
南投縣旅館013號,箱根生活館,545南投縣埔里鎮蜈蚣里中山路一段62號,049-2920899,9
南投縣旅館015號,天水蓮大飯店,545南投縣埔里鎮鯉魚二巷20號,049-2903411,114
南投縣旅館028號,鎮寶大飯店,545南投縣埔里鎮忠孝路299號,049-2903333,300
南投縣旅館030號,金谷豐別館,545南投縣埔里鎮南昌街285號,049-2984047,50
南投縣旅館031號,亞締旅店,545南投縣埔里鎮信義路701號,049-2985777,62
南投縣旅館054號,山王大飯店,545南投縣埔里鎮中山路二段399號,049-2900227,177
南投縣旅館060號,永樂園旅社,545南投縣埔里鎮西安路一段83號,049-2900102,13
南投縣旅館082號,平雲山都,545南投縣埔里鎮廣成里永豐路12之1號,049-2930930,18
南投縣旅館087號,森山休閒別館,545南投縣埔里鎮中正路1076號,049-2930930,35
南投縣旅館090號,悅景商務旅館,545南投縣埔里鎮東門里7鄰中正路296號,049-2900100,12
南投縣旅館094號,台一楓樺卉館(休閒農場),545南投縣埔里鎮中山路1段176號,049-2997848,73
南投縣旅館100號,今埔里大飯店,545南投縣埔里鎮同聲里4鄰南興街79號,049-2422088,60
南投縣旅館105號,牛耳藝術渡假村,545南投縣埔里鎮南村里2鄰中山路四段1-6號,049-2912248,9
南投縣旅館114號,冠月精品旅館,545南投縣埔里鎮信義路319號,049-2900679,89
南投縣旅館117號,兆迪商務汽車旅館,545南投縣埔里鎮大湳里虎山二街5號,049-2988666,54
南投縣旅館131號,埔里西站商務旅?,545南投縣埔里鎮西門里仁愛路41號,049-2992888,36
南投縣旅館132號,水雲天飯店,545南投縣埔里鎮西門里仁愛路7號,049-2997760,52
南投縣旅館137號,仁都休閒旅館,545南投縣埔里鎮牛眠里中正路1070號,049-2932229,63
南投縣旅館145號,承萬尊爵渡假酒店,545南投縣埔里鎮樹人路131號,049-2995757,76
南投縣旅館149號,沙連堡旅館,545南投縣埔里鎮水頭里7鄰中正路101號,049-2927188,15
南投縣旅館150號,金百豐阿波羅飯店,545南投縣埔里鎮杷城里民治一街1號1樓至6樓、1號2樓之1至5樓之1,049-2900555,34
南投縣旅館152號,欣屋商務旅館,545南投縣埔里鎮大城里37鄰安七街56號,049-2910121,15
